split	cohort	participant_id	session_id	task_name	wav_path	feature_csv	duration_sec	transcript
train	adult	626607	3dadc4fa	cape-v-sentences-2	bridge2ai_adult_wav_v2/626607__3dadc4fa__cape-v-sentences-2.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_626607_3dadc4fa_cape-v-sentences-2.csv	2.0900	How hard did he hit him?
train	adult	927938	cd26c180	harvard-sentences-list-30-10	bridge2ai_adult_wav_v2/927938__cd26c180__harvard-sentences-list-30-10.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_927938_cd26c180_harvard-sentences-list-30-10.csv	6.7500	Steam can absent from the store shelves.
train	adult	307047	d7fdba5e	word-color-stroop	bridge2ai_adult_wav_v2/307047__d7fdba5e__word-color-stroop.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_307047_d7fdba5e_word-color-stroop.csv	75.8500	Blue. Purple. Green. Purple. Red. Green. Green. Red. Purple. Blue. Green. Brown. Blue. brown blue brown brown red purple blue
train	adult	796794	6d54fcc0	loudness	bridge2ai_adult_wav_v2/796794__6d54fcc0__loudness.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_796794_6d54fcc0_loudness.csv	3.5100	Hey, hey, hey.
train	adult	090051	38676168	maximum-phonation-time-2	bridge2ai_adult_wav_v2/090051__38676168__maximum-phonation-time-2.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_090051_38676168_maximum-phonation-time-2.csv	14.0900	Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh, oh,
train	adult	906407	cb8a74ee	productive-vocabulary-4	bridge2ai_adult_wav_v2/906407__cb8a74ee__productive-vocabulary-4.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_906407_cb8a74ee_productive-vocabulary-4.csv	10.3500	Ovation is a crowd accolation.
train	adult	924581	4bed4596	breath-sounds	bridge2ai_adult_wav_v2/924581__4bed4596__breath-sounds.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_924581_4bed4596_breath-sounds.csv	17.1900	Good.
train	adult	974020	80a6334a	diadochokinesis-pa	bridge2ai_adult_wav_v2/974020__80a6334a__diadochokinesis-pa.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_974020_80a6334a_diadochokinesis-pa.csv	4.3900	Pa, pa, pa, pa, pa, pa, pa, pa, pa.
train	adult	297376	65694248	maximum-phonation-time-2	bridge2ai_adult_wav_v2/297376__65694248__maximum-phonation-time-2.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_297376_65694248_maximum-phonation-time-2.csv	13.1900	Ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah,
train	adult	155031	cfc2184e	respiration-and-cough-fivebreaths-2	bridge2ai_adult_wav_v2/155031__cfc2184e__respiration-and-cough-fivebreaths-2.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_155031_cfc2184e_respiration-and-cough-fivebreaths-2.csv	28.0300	................................................................................................................................
train	adult	982607	9baa7b58	diadochokinesis-ka	bridge2ai_adult_wav_v2/982607__9baa7b58__diadochokinesis-ka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_982607_9baa7b58_diadochokinesis-ka.csv	6.6100	Ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-ta-
train	adult	336669	820c40d8	cape-v-sentences-5	bridge2ai_adult_wav_v2/336669__820c40d8__cape-v-sentences-5.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_336669_820c40d8_cape-v-sentences-5.csv	5.7500	My mama loves lemon muffins.
train	adult	528295	47e4d8e2	diadochokinesis-ka	bridge2ai_adult_wav_v2/528295__47e4d8e2__diadochokinesis-ka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_528295_47e4d8e2_diadochokinesis-ka.csv	7.0300	One more time.
train	adult	478240	56d10e30	diadochokinesis-pataka	bridge2ai_adult_wav_v2/478240__56d10e30__diadochokinesis-pataka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_478240_56d10e30_diadochokinesis-pataka.csv	12.6100	Pataka, pataka, pataka, pataka, pataka, pataka, pataka, pataka, pataka, pataka, pataka, pataka.
train	adult	627442	17797c21	respiration-and-cough-fivebreaths-4	bridge2ai_adult_wav_v2/627442__17797c21__respiration-and-cough-fivebreaths-4.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_627442_17797c21_respiration-and-cough-fivebreaths-4.csv	12.3700	................................................................................................................................
train	adult	657544	0a083ed0	diadochokinesis-pa	bridge2ai_adult_wav_v2/657544__0a083ed0__diadochokinesis-pa.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_657544_0a083ed0_diadochokinesis-pa.csv	6.7300	Puff puff puff puff puff puff puff puff puff puff puff puff puff puff puff puff puff puff puff puff puff puff puff
train	adult	001573	54ab2a33	respiration-and-cough-breath-1	bridge2ai_adult_wav_v2/001573__54ab2a33__respiration-and-cough-breath-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_001573_54ab2a33_respiration-and-cough-breath-1.csv	30.0300	you.
train	adult	959779	b79fe793	productive-vocabulary-5	bridge2ai_adult_wav_v2/959779__b79fe793__productive-vocabulary-5.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_959779_b79fe793_productive-vocabulary-5.csv	7.3300	I so fear the atmosphere around
train	adult	225994	7ea3f87d	prolonged-vowel	bridge2ai_adult_wav_v2/225994__7ea3f87d__prolonged-vowel.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_225994_7ea3f87d_prolonged-vowel.csv	12.1300	One, two, three. Ah.
train	adult	457743	38341dc5	respiration-and-cough-cough-2	bridge2ai_adult_wav_v2/457743__38341dc5__respiration-and-cough-cough-2.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_457743_38341dc5_respiration-and-cough-cough-2.csv	9.3300	Oh.
train	adult	606840	6394e06b	productive-vocabulary-1	bridge2ai_adult_wav_v2/606840__6394e06b__productive-vocabulary-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_606840_6394e06b_productive-vocabulary-1.csv	5.4500	A place where you buy bread and cookies.
train	adult	311954	f0a35554	diadochokinesis-ta	bridge2ai_adult_wav_v2/311954__f0a35554__diadochokinesis-ta.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_311954_f0a35554_diadochokinesis-ta.csv	6.7300	Ta ta ta ta ta ta ta ta ta ta ta
train	adult	083175	5efc741b	story-recall	bridge2ai_adult_wav_v2/083175__5efc741b__story-recall.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_083175_5efc741b_story-recall.csv	20.6500	So the author describes his grandfather, who is 93 years old, wears a long black frock coat that is missing several buttons. He plays the organ twice a day. He also has a long beard.
train	adult	765626	da7ca509	diadochokinesis-pataka	bridge2ai_adult_wav_v2/765626__da7ca509__diadochokinesis-pataka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_765626_da7ca509_diadochokinesis-pataka.csv	17.5100	Pa-taka, pa-taka, pa-taka, pa-taka, pa-taka, pa-taka, pa-taka, pa-taka, pa-taka, pa-taka, pa-taka, pa-taka.
train	adult	159668	c9e68411	respiration-and-cough-threequickbreaths-1	bridge2ai_adult_wav_v2/159668__c9e68411__respiration-and-cough-threequickbreaths-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_159668_c9e68411_respiration-and-cough-threequickbreaths-1.csv	7.2900	Hey
train	adult	982104	b62b86c2	diadochokinesis-ka	bridge2ai_adult_wav_v2/982104__b62b86c2__diadochokinesis-ka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_982104_b62b86c2_diadochokinesis-ka.csv	6.4900	K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K K
train	adult	821217	453d3e32	productive-vocabulary-6	bridge2ai_adult_wav_v2/821217__453d3e32__productive-vocabulary-6.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_821217_453d3e32_productive-vocabulary-6.csv	7.3900	Formation means change the format of something.
train	adult	316915	8541b7ef	diadochokinesis-pataka	bridge2ai_adult_wav_v2/316915__8541b7ef__diadochokinesis-pataka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_316915_8541b7ef_diadochokinesis-pataka.csv	7.0900	Pataka, Pataka, Pataka, Pataka, Pataka, Pataka, Pataka, Pataka, Pataka, Pataka, Pataka.
train	adult	945039	8abdb9a3	respiration-and-cough-cough-1	bridge2ai_adult_wav_v2/945039__8abdb9a3__respiration-and-cough-cough-1.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_945039_8abdb9a3_respiration-and-cough-cough-1.csv	6.8300	Oh, oh, oh, oh, oh.
train	adult	249673	b915ad4e	diadochokinesis-ka	bridge2ai_adult_wav_v2/249673__b915ad4e__diadochokinesis-ka.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_249673_b915ad4e_diadochokinesis-ka.csv	4.7900	Kaka kaka kaka kaka kaka
train	adult	110846	71d9af63	glides-high-to-low	bridge2ai_adult_wav_v2/110846__71d9af63__glides-high-to-low.wav	bridge2ai_zipformer_full_all_tasks/mels/adult_110846_71d9af63_glides-high-to-low.csv	7.6900	Sssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss
